-- Gradient check (lam=0) -------------------------
  max abs error  W: 1.11e-16
  max abs error  b: 5.55e-17
  max rel error  W: 2.10e-15
  max rel error  b: 1.19e-16

-- Gradient check (lam=0.1) -------------------------
  max abs error  W: 1.11e-16
  max abs error  b: 5.55e-17
  max rel error  W: 4.58e-15
  max rel error  b: 1.19e-16

-- Phase 1: required configs (batch_1 train, batch_2 val, no augmentation) --

  Config: lam0.0_eta0.1_epochs40_batch100
Epoch 1/40 | train loss: 9.0268 | val loss: 9.7130 | train cost: 9.0268 | val cost: 9.7130 | train acc: 0.2681 | val acc: 0.2400 | eta: 0.100000
Epoch 2/40 | train loss: 4.7221 | val loss: 5.4877 | train cost: 4.7221 | val cost: 5.4877 | train acc: 0.3271 | val acc: 0.2888 | eta: 0.100000
Epoch 3/40 | train loss: 5.4208 | val loss: 6.2520 | train cost: 5.4208 | val cost: 6.2520 | train acc: 0.3226 | val acc: 0.2721 | eta: 0.100000
Epoch 4/40 | train loss: 4.4169 | val loss: 5.4641 | train cost: 4.4169 | val cost: 5.4641 | train acc: 0.3603 | val acc: 0.2966 | eta: 0.100000
Epoch 5/40 | train loss: 4.5913 | val loss: 5.6430 | train cost: 4.5913 | val cost: 5.6430 | train acc: 0.3649 | val acc: 0.2894 | eta: 0.100000
Epoch 6/40 | train loss: 5.2207 | val loss: 6.4287 | train cost: 5.2207 | val cost: 6.4287 | train acc: 0.3479 | val acc: 0.2756 | eta: 0.100000
Epoch 7/40 | train loss: 3.6882 | val loss: 4.9460 | train cost: 3.6882 | val cost: 4.9460 | train acc: 0.3931 | val acc: 0.2938 | eta: 0.100000
Epoch 8/40 | train loss: 4.3329 | val loss: 5.6433 | train cost: 4.3329 | val cost: 5.6433 | train acc: 0.3852 | val acc: 0.2985 | eta: 0.100000
Epoch 9/40 | train loss: 5.0001 | val loss: 6.3237 | train cost: 5.0001 | val cost: 6.3237 | train acc: 0.3576 | val acc: 0.2716 | eta: 0.100000
Epoch 10/40 | train loss: 3.9171 | val loss: 5.3665 | train cost: 3.9171 | val cost: 5.3665 | train acc: 0.3930 | val acc: 0.2969 | eta: 0.100000
Epoch 11/40 | train loss: 5.8469 | val loss: 7.3839 | train cost: 5.8469 | val cost: 7.3839 | train acc: 0.3329 | val acc: 0.2534 | eta: 0.100000
Epoch 12/40 | train loss: 3.5917 | val loss: 5.1917 | train cost: 3.5917 | val cost: 5.1917 | train acc: 0.4109 | val acc: 0.2995 | eta: 0.100000
Epoch 13/40 | train loss: 4.3444 | val loss: 5.9800 | train cost: 4.3444 | val cost: 5.9800 | train acc: 0.3885 | val acc: 0.2866 | eta: 0.100000
Epoch 14/40 | train loss: 3.6915 | val loss: 5.4138 | train cost: 3.6915 | val cost: 5.4138 | train acc: 0.4092 | val acc: 0.2950 | eta: 0.100000
Epoch 15/40 | train loss: 4.3923 | val loss: 6.1756 | train cost: 4.3923 | val cost: 6.1756 | train acc: 0.3846 | val acc: 0.2828 | eta: 0.100000
Epoch 16/40 | train loss: 4.4750 | val loss: 6.2273 | train cost: 4.4750 | val cost: 6.2273 | train acc: 0.3935 | val acc: 0.2769 | eta: 0.100000
Epoch 17/40 | train loss: 4.9486 | val loss: 6.7314 | train cost: 4.9486 | val cost: 6.7314 | train acc: 0.3799 | val acc: 0.2837 | eta: 0.100000
Epoch 18/40 | train loss: 3.8096 | val loss: 5.6478 | train cost: 3.8096 | val cost: 5.6478 | train acc: 0.4109 | val acc: 0.2891 | eta: 0.100000
Epoch 19/40 | train loss: 6.1364 | val loss: 8.0918 | train cost: 6.1364 | val cost: 8.0918 | train acc: 0.3653 | val acc: 0.2758 | eta: 0.100000
Epoch 20/40 | train loss: 3.6012 | val loss: 5.5931 | train cost: 3.6012 | val cost: 5.5931 | train acc: 0.4151 | val acc: 0.2866 | eta: 0.100000
Epoch 21/40 | train loss: 3.5658 | val loss: 5.5141 | train cost: 3.5658 | val cost: 5.5141 | train acc: 0.4318 | val acc: 0.2962 | eta: 0.100000
Epoch 22/40 | train loss: 3.8180 | val loss: 5.8136 | train cost: 3.8180 | val cost: 5.8136 | train acc: 0.4141 | val acc: 0.2813 | eta: 0.100000
Epoch 23/40 | train loss: 6.8719 | val loss: 8.9808 | train cost: 6.8719 | val cost: 8.9808 | train acc: 0.3507 | val acc: 0.2628 | eta: 0.100000
Epoch 24/40 | train loss: 4.4733 | val loss: 6.5731 | train cost: 4.4733 | val cost: 6.5731 | train acc: 0.3976 | val acc: 0.2797 | eta: 0.100000
Epoch 25/40 | train loss: 3.4745 | val loss: 5.6139 | train cost: 3.4745 | val cost: 5.6139 | train acc: 0.4288 | val acc: 0.2882 | eta: 0.100000
Epoch 26/40 | train loss: 3.9478 | val loss: 6.0523 | train cost: 3.9478 | val cost: 6.0523 | train acc: 0.4231 | val acc: 0.2850 | eta: 0.100000
Epoch 27/40 | train loss: 4.3961 | val loss: 6.5369 | train cost: 4.3961 | val cost: 6.5369 | train acc: 0.4073 | val acc: 0.2792 | eta: 0.100000
Epoch 28/40 | train loss: 4.1155 | val loss: 6.2693 | train cost: 4.1155 | val cost: 6.2693 | train acc: 0.4199 | val acc: 0.2856 | eta: 0.100000
Epoch 29/40 | train loss: 4.4321 | val loss: 6.6743 | train cost: 4.4321 | val cost: 6.6743 | train acc: 0.4170 | val acc: 0.2805 | eta: 0.100000
Epoch 30/40 | train loss: 6.0098 | val loss: 8.2723 | train cost: 6.0098 | val cost: 8.2723 | train acc: 0.3430 | val acc: 0.2489 | eta: 0.100000
Epoch 31/40 | train loss: 4.2248 | val loss: 6.4777 | train cost: 4.2248 | val cost: 6.4777 | train acc: 0.4167 | val acc: 0.2819 | eta: 0.100000
Epoch 32/40 | train loss: 3.9190 | val loss: 6.2562 | train cost: 3.9190 | val cost: 6.2562 | train acc: 0.4272 | val acc: 0.2889 | eta: 0.100000
Epoch 33/40 | train loss: 3.8074 | val loss: 6.1777 | train cost: 3.8074 | val cost: 6.1777 | train acc: 0.4300 | val acc: 0.2816 | eta: 0.100000
Epoch 34/40 | train loss: 4.0587 | val loss: 6.4242 | train cost: 4.0587 | val cost: 6.4242 | train acc: 0.4228 | val acc: 0.2824 | eta: 0.100000
Epoch 35/40 | train loss: 3.4530 | val loss: 5.7874 | train cost: 3.4530 | val cost: 5.7874 | train acc: 0.4320 | val acc: 0.2730 | eta: 0.100000
Epoch 36/40 | train loss: 3.2574 | val loss: 5.6289 | train cost: 3.2574 | val cost: 5.6289 | train acc: 0.4451 | val acc: 0.2884 | eta: 0.100000
Epoch 37/40 | train loss: 3.8497 | val loss: 6.3292 | train cost: 3.8497 | val cost: 6.3292 | train acc: 0.4371 | val acc: 0.2833 | eta: 0.100000
Epoch 38/40 | train loss: 3.5168 | val loss: 5.9774 | train cost: 3.5168 | val cost: 5.9774 | train acc: 0.4486 | val acc: 0.2868 | eta: 0.100000
Epoch 39/40 | train loss: 4.0918 | val loss: 6.6033 | train cost: 4.0918 | val cost: 6.6033 | train acc: 0.4249 | val acc: 0.2762 | eta: 0.100000
Epoch 40/40 | train loss: 3.9886 | val loss: 6.4477 | train cost: 3.9886 | val cost: 6.4477 | train acc: 0.4212 | val acc: 0.2710 | eta: 0.100000
  Final test accuracy: 27.70%
Saved plot: /home/upphill/Documents/DD2424/Assignmentsw/Assignment1/cifar10-softmax-classifier/figures/history_lam0.0_eta0.1_epochs40_batch100.png
Saved weights: /home/upphill/Documents/DD2424/Assignmentsw/Assignment1/cifar10-softmax-classifier/figures/weights_lam0.0_eta0.1_epochs40_batch100.png

  Config: lam0.0_eta0.001_epochs40_batch100
Epoch 1/40 | train loss: 1.9737 | val loss: 2.0015 | train cost: 1.9737 | val cost: 2.0015 | train acc: 0.2977 | val acc: 0.2859 | eta: 0.001000
Epoch 2/40 | train loss: 1.8937 | val loss: 1.9348 | train cost: 1.8937 | val cost: 1.9348 | train acc: 0.3351 | val acc: 0.3209 | eta: 0.001000
Epoch 3/40 | train loss: 1.8501 | val loss: 1.9015 | train cost: 1.8501 | val cost: 1.9015 | train acc: 0.3562 | val acc: 0.3376 | eta: 0.001000
Epoch 4/40 | train loss: 1.8208 | val loss: 1.8806 | train cost: 1.8208 | val cost: 1.8806 | train acc: 0.3714 | val acc: 0.3474 | eta: 0.001000
Epoch 5/40 | train loss: 1.7988 | val loss: 1.8661 | train cost: 1.7988 | val cost: 1.8661 | train acc: 0.3787 | val acc: 0.3521 | eta: 0.001000
Epoch 6/40 | train loss: 1.7814 | val loss: 1.8552 | train cost: 1.7814 | val cost: 1.8552 | train acc: 0.3854 | val acc: 0.3582 | eta: 0.001000
Epoch 7/40 | train loss: 1.7670 | val loss: 1.8467 | train cost: 1.7670 | val cost: 1.8467 | train acc: 0.3924 | val acc: 0.3623 | eta: 0.001000
Epoch 8/40 | train loss: 1.7547 | val loss: 1.8399 | train cost: 1.7547 | val cost: 1.8399 | train acc: 0.3973 | val acc: 0.3652 | eta: 0.001000
Epoch 9/40 | train loss: 1.7441 | val loss: 1.8343 | train cost: 1.7441 | val cost: 1.8343 | train acc: 0.4014 | val acc: 0.3690 | eta: 0.001000
Epoch 10/40 | train loss: 1.7346 | val loss: 1.8296 | train cost: 1.7346 | val cost: 1.8296 | train acc: 0.4062 | val acc: 0.3729 | eta: 0.001000
Epoch 11/40 | train loss: 1.7262 | val loss: 1.8255 | train cost: 1.7262 | val cost: 1.8255 | train acc: 0.4092 | val acc: 0.3755 | eta: 0.001000
Epoch 12/40 | train loss: 1.7185 | val loss: 1.8220 | train cost: 1.7185 | val cost: 1.8220 | train acc: 0.4131 | val acc: 0.3768 | eta: 0.001000
Epoch 13/40 | train loss: 1.7114 | val loss: 1.8190 | train cost: 1.7114 | val cost: 1.8190 | train acc: 0.4153 | val acc: 0.3771 | eta: 0.001000
Epoch 14/40 | train loss: 1.7049 | val loss: 1.8163 | train cost: 1.7049 | val cost: 1.8163 | train acc: 0.4179 | val acc: 0.3781 | eta: 0.001000
Epoch 15/40 | train loss: 1.6989 | val loss: 1.8139 | train cost: 1.6989 | val cost: 1.8139 | train acc: 0.4198 | val acc: 0.3793 | eta: 0.001000
Epoch 16/40 | train loss: 1.6932 | val loss: 1.8118 | train cost: 1.6932 | val cost: 1.8118 | train acc: 0.4214 | val acc: 0.3793 | eta: 0.001000
Epoch 17/40 | train loss: 1.6879 | val loss: 1.8099 | train cost: 1.6879 | val cost: 1.8099 | train acc: 0.4229 | val acc: 0.3798 | eta: 0.001000
Epoch 18/40 | train loss: 1.6829 | val loss: 1.8081 | train cost: 1.6829 | val cost: 1.8081 | train acc: 0.4255 | val acc: 0.3802 | eta: 0.001000
Epoch 19/40 | train loss: 1.6781 | val loss: 1.8065 | train cost: 1.6781 | val cost: 1.8065 | train acc: 0.4266 | val acc: 0.3802 | eta: 0.001000
Epoch 20/40 | train loss: 1.6736 | val loss: 1.8051 | train cost: 1.6736 | val cost: 1.8051 | train acc: 0.4281 | val acc: 0.3810 | eta: 0.001000
Epoch 21/40 | train loss: 1.6693 | val loss: 1.8038 | train cost: 1.6693 | val cost: 1.8038 | train acc: 0.4300 | val acc: 0.3819 | eta: 0.001000
Epoch 22/40 | train loss: 1.6652 | val loss: 1.8026 | train cost: 1.6652 | val cost: 1.8026 | train acc: 0.4323 | val acc: 0.3819 | eta: 0.001000
Epoch 23/40 | train loss: 1.6613 | val loss: 1.8015 | train cost: 1.6613 | val cost: 1.8015 | train acc: 0.4330 | val acc: 0.3818 | eta: 0.001000
Epoch 24/40 | train loss: 1.6575 | val loss: 1.8005 | train cost: 1.6575 | val cost: 1.8005 | train acc: 0.4355 | val acc: 0.3830 | eta: 0.001000
Epoch 25/40 | train loss: 1.6539 | val loss: 1.7995 | train cost: 1.6539 | val cost: 1.7995 | train acc: 0.4381 | val acc: 0.3836 | eta: 0.001000
Epoch 26/40 | train loss: 1.6504 | val loss: 1.7987 | train cost: 1.6504 | val cost: 1.7987 | train acc: 0.4392 | val acc: 0.3829 | eta: 0.001000
Epoch 27/40 | train loss: 1.6470 | val loss: 1.7979 | train cost: 1.6470 | val cost: 1.7979 | train acc: 0.4402 | val acc: 0.3834 | eta: 0.001000
Epoch 28/40 | train loss: 1.6437 | val loss: 1.7971 | train cost: 1.6437 | val cost: 1.7971 | train acc: 0.4413 | val acc: 0.3827 | eta: 0.001000
Epoch 29/40 | train loss: 1.6406 | val loss: 1.7964 | train cost: 1.6406 | val cost: 1.7964 | train acc: 0.4423 | val acc: 0.3828 | eta: 0.001000
Epoch 30/40 | train loss: 1.6375 | val loss: 1.7958 | train cost: 1.6375 | val cost: 1.7958 | train acc: 0.4435 | val acc: 0.3828 | eta: 0.001000
Epoch 31/40 | train loss: 1.6346 | val loss: 1.7952 | train cost: 1.6346 | val cost: 1.7952 | train acc: 0.4438 | val acc: 0.3835 | eta: 0.001000
Epoch 32/40 | train loss: 1.6317 | val loss: 1.7947 | train cost: 1.6317 | val cost: 1.7947 | train acc: 0.4447 | val acc: 0.3835 | eta: 0.001000
Epoch 33/40 | train loss: 1.6289 | val loss: 1.7942 | train cost: 1.6289 | val cost: 1.7942 | train acc: 0.4462 | val acc: 0.3834 | eta: 0.001000
Epoch 34/40 | train loss: 1.6262 | val loss: 1.7937 | train cost: 1.6262 | val cost: 1.7937 | train acc: 0.4483 | val acc: 0.3831 | eta: 0.001000
Epoch 35/40 | train loss: 1.6236 | val loss: 1.7933 | train cost: 1.6236 | val cost: 1.7933 | train acc: 0.4492 | val acc: 0.3840 | eta: 0.001000
Epoch 36/40 | train loss: 1.6210 | val loss: 1.7929 | train cost: 1.6210 | val cost: 1.7929 | train acc: 0.4510 | val acc: 0.3853 | eta: 0.001000
Epoch 37/40 | train loss: 1.6185 | val loss: 1.7926 | train cost: 1.6185 | val cost: 1.7926 | train acc: 0.4519 | val acc: 0.3853 | eta: 0.001000
Epoch 38/40 | train loss: 1.6160 | val loss: 1.7923 | train cost: 1.6160 | val cost: 1.7923 | train acc: 0.4536 | val acc: 0.3852 | eta: 0.001000
Epoch 39/40 | train loss: 1.6137 | val loss: 1.7920 | train cost: 1.6137 | val cost: 1.7920 | train acc: 0.4553 | val acc: 0.3848 | eta: 0.001000
Epoch 40/40 | train loss: 1.6113 | val loss: 1.7917 | train cost: 1.6113 | val cost: 1.7917 | train acc: 0.4557 | val acc: 0.3846 | eta: 0.001000
  Final test accuracy: 39.21%
Saved plot: /home/upphill/Documents/DD2424/Assignmentsw/Assignment1/cifar10-softmax-classifier/figures/history_lam0.0_eta0.001_epochs40_batch100.png
Saved weights: /home/upphill/Documents/DD2424/Assignmentsw/Assignment1/cifar10-softmax-classifier/figures/weights_lam0.0_eta0.001_epochs40_batch100.png

  Config: lam0.1_eta0.001_epochs40_batch100
Epoch 1/40 | train loss: 1.9734 | val loss: 2.0010 | train cost: 2.2715 | val cost: 2.2990 | train acc: 0.2981 | val acc: 0.2871 | eta: 0.001000
Epoch 2/40 | train loss: 1.8938 | val loss: 1.9343 | train cost: 2.1817 | val cost: 2.2222 | train acc: 0.3359 | val acc: 0.3219 | eta: 0.001000
Epoch 3/40 | train loss: 1.8507 | val loss: 1.9008 | train cost: 2.1292 | val cost: 2.1793 | train acc: 0.3575 | val acc: 0.3392 | eta: 0.001000
Epoch 4/40 | train loss: 1.8219 | val loss: 1.8799 | train cost: 2.0913 | val cost: 2.1493 | train acc: 0.3715 | val acc: 0.3464 | eta: 0.001000
Epoch 5/40 | train loss: 1.8005 | val loss: 1.8652 | train cost: 2.0614 | val cost: 2.1261 | train acc: 0.3795 | val acc: 0.3531 | eta: 0.001000
Epoch 6/40 | train loss: 1.7837 | val loss: 1.8542 | train cost: 2.0364 | val cost: 2.1069 | train acc: 0.3879 | val acc: 0.3594 | eta: 0.001000
Epoch 7/40 | train loss: 1.7700 | val loss: 1.8457 | train cost: 2.0148 | val cost: 2.0905 | train acc: 0.3940 | val acc: 0.3619 | eta: 0.001000
Epoch 8/40 | train loss: 1.7585 | val loss: 1.8387 | train cost: 1.9958 | val cost: 2.0761 | train acc: 0.3989 | val acc: 0.3663 | eta: 0.001000
Epoch 9/40 | train loss: 1.7486 | val loss: 1.8330 | train cost: 1.9787 | val cost: 2.0632 | train acc: 0.4024 | val acc: 0.3694 | eta: 0.001000
Epoch 10/40 | train loss: 1.7399 | val loss: 1.8282 | train cost: 1.9632 | val cost: 2.0516 | train acc: 0.4054 | val acc: 0.3718 | eta: 0.001000
Epoch 11/40 | train loss: 1.7322 | val loss: 1.8241 | train cost: 1.9490 | val cost: 2.0409 | train acc: 0.4090 | val acc: 0.3747 | eta: 0.001000
Epoch 12/40 | train loss: 1.7254 | val loss: 1.8205 | train cost: 1.9360 | val cost: 2.0311 | train acc: 0.4119 | val acc: 0.3775 | eta: 0.001000
Epoch 13/40 | train loss: 1.7192 | val loss: 1.8174 | train cost: 1.9238 | val cost: 2.0220 | train acc: 0.4164 | val acc: 0.3798 | eta: 0.001000
Epoch 14/40 | train loss: 1.7136 | val loss: 1.8146 | train cost: 1.9125 | val cost: 2.0135 | train acc: 0.4190 | val acc: 0.3811 | eta: 0.001000
Epoch 15/40 | train loss: 1.7084 | val loss: 1.8121 | train cost: 1.9019 | val cost: 2.0056 | train acc: 0.4215 | val acc: 0.3802 | eta: 0.001000
Epoch 16/40 | train loss: 1.7037 | val loss: 1.8099 | train cost: 1.8920 | val cost: 1.9982 | train acc: 0.4225 | val acc: 0.3810 | eta: 0.001000
Epoch 17/40 | train loss: 1.6993 | val loss: 1.8079 | train cost: 1.8826 | val cost: 1.9912 | train acc: 0.4234 | val acc: 0.3811 | eta: 0.001000
Epoch 18/40 | train loss: 1.6952 | val loss: 1.8061 | train cost: 1.8738 | val cost: 1.9847 | train acc: 0.4246 | val acc: 0.3827 | eta: 0.001000
Epoch 19/40 | train loss: 1.6914 | val loss: 1.8044 | train cost: 1.8655 | val cost: 1.9785 | train acc: 0.4264 | val acc: 0.3832 | eta: 0.001000
Epoch 20/40 | train loss: 1.6879 | val loss: 1.8029 | train cost: 1.8576 | val cost: 1.9726 | train acc: 0.4273 | val acc: 0.3827 | eta: 0.001000
Epoch 21/40 | train loss: 1.6845 | val loss: 1.8015 | train cost: 1.8502 | val cost: 1.9671 | train acc: 0.4278 | val acc: 0.3839 | eta: 0.001000
Epoch 22/40 | train loss: 1.6814 | val loss: 1.8002 | train cost: 1.8431 | val cost: 1.9619 | train acc: 0.4297 | val acc: 0.3843 | eta: 0.001000
Epoch 23/40 | train loss: 1.6785 | val loss: 1.7990 | train cost: 1.8364 | val cost: 1.9569 | train acc: 0.4307 | val acc: 0.3850 | eta: 0.001000
Epoch 24/40 | train loss: 1.6757 | val loss: 1.7979 | train cost: 1.8301 | val cost: 1.9522 | train acc: 0.4319 | val acc: 0.3857 | eta: 0.001000
Epoch 25/40 | train loss: 1.6731 | val loss: 1.7968 | train cost: 1.8240 | val cost: 1.9478 | train acc: 0.4336 | val acc: 0.3852 | eta: 0.001000
Epoch 26/40 | train loss: 1.6706 | val loss: 1.7959 | train cost: 1.8183 | val cost: 1.9436 | train acc: 0.4352 | val acc: 0.3852 | eta: 0.001000
Epoch 27/40 | train loss: 1.6682 | val loss: 1.7950 | train cost: 1.8128 | val cost: 1.9396 | train acc: 0.4368 | val acc: 0.3856 | eta: 0.001000
Epoch 28/40 | train loss: 1.6660 | val loss: 1.7942 | train cost: 1.8076 | val cost: 1.9358 | train acc: 0.4375 | val acc: 0.3857 | eta: 0.001000
Epoch 29/40 | train loss: 1.6639 | val loss: 1.7934 | train cost: 1.8026 | val cost: 1.9321 | train acc: 0.4378 | val acc: 0.3871 | eta: 0.001000
Epoch 30/40 | train loss: 1.6618 | val loss: 1.7927 | train cost: 1.7979 | val cost: 1.9287 | train acc: 0.4388 | val acc: 0.3867 | eta: 0.001000
Epoch 31/40 | train loss: 1.6599 | val loss: 1.7920 | train cost: 1.7934 | val cost: 1.9254 | train acc: 0.4395 | val acc: 0.3862 | eta: 0.001000
Epoch 32/40 | train loss: 1.6581 | val loss: 1.7913 | train cost: 1.7891 | val cost: 1.9223 | train acc: 0.4406 | val acc: 0.3856 | eta: 0.001000
Epoch 33/40 | train loss: 1.6563 | val loss: 1.7907 | train cost: 1.7850 | val cost: 1.9194 | train acc: 0.4418 | val acc: 0.3858 | eta: 0.001000
Epoch 34/40 | train loss: 1.6546 | val loss: 1.7901 | train cost: 1.7810 | val cost: 1.9166 | train acc: 0.4429 | val acc: 0.3854 | eta: 0.001000
Epoch 35/40 | train loss: 1.6530 | val loss: 1.7896 | train cost: 1.7773 | val cost: 1.9139 | train acc: 0.4434 | val acc: 0.3855 | eta: 0.001000
Epoch 36/40 | train loss: 1.6515 | val loss: 1.7891 | train cost: 1.7737 | val cost: 1.9113 | train acc: 0.4435 | val acc: 0.3858 | eta: 0.001000
Epoch 37/40 | train loss: 1.6500 | val loss: 1.7886 | train cost: 1.7703 | val cost: 1.9089 | train acc: 0.4447 | val acc: 0.3856 | eta: 0.001000
Epoch 38/40 | train loss: 1.6486 | val loss: 1.7881 | train cost: 1.7670 | val cost: 1.9066 | train acc: 0.4456 | val acc: 0.3855 | eta: 0.001000
Epoch 39/40 | train loss: 1.6472 | val loss: 1.7877 | train cost: 1.7639 | val cost: 1.9044 | train acc: 0.4455 | val acc: 0.3859 | eta: 0.001000
Epoch 40/40 | train loss: 1.6459 | val loss: 1.7873 | train cost: 1.7609 | val cost: 1.9023 | train acc: 0.4463 | val acc: 0.3862 | eta: 0.001000
  Final test accuracy: 39.30%
Saved plot: /home/upphill/Documents/DD2424/Assignmentsw/Assignment1/cifar10-softmax-classifier/figures/history_lam0.1_eta0.001_epochs40_batch100.png
Saved weights: /home/upphill/Documents/DD2424/Assignmentsw/Assignment1/cifar10-softmax-classifier/figures/weights_lam0.1_eta0.001_epochs40_batch100.png

  Config: lam1.0_eta0.001_epochs40_batch100
Epoch 1/40 | train loss: 1.9733 | val loss: 1.9991 | train cost: 4.0565 | val cost: 4.0823 | train acc: 0.3019 | val acc: 0.2902 | eta: 0.001000
Epoch 2/40 | train loss: 1.9014 | val loss: 1.9369 | train cost: 3.3176 | val cost: 3.3531 | train acc: 0.3423 | val acc: 0.3292 | eta: 0.001000
Epoch 3/40 | train loss: 1.8671 | val loss: 1.9087 | train cost: 2.8404 | val cost: 2.8819 | train acc: 0.3636 | val acc: 0.3427 | eta: 0.001000
Epoch 4/40 | train loss: 1.8475 | val loss: 1.8931 | train cost: 2.5261 | val cost: 2.5717 | train acc: 0.3747 | val acc: 0.3493 | eta: 0.001000
Epoch 5/40 | train loss: 1.8351 | val loss: 1.8836 | train cost: 2.3177 | val cost: 2.3662 | train acc: 0.3812 | val acc: 0.3535 | eta: 0.001000
Epoch 6/40 | train loss: 1.8269 | val loss: 1.8775 | train cost: 2.1792 | val cost: 2.2297 | train acc: 0.3875 | val acc: 0.3581 | eta: 0.001000
Epoch 7/40 | train loss: 1.8213 | val loss: 1.8734 | train cost: 2.0869 | val cost: 2.1390 | train acc: 0.3902 | val acc: 0.3605 | eta: 0.001000
Epoch 8/40 | train loss: 1.8174 | val loss: 1.8705 | train cost: 2.0254 | val cost: 2.0786 | train acc: 0.3923 | val acc: 0.3618 | eta: 0.001000
Epoch 9/40 | train loss: 1.8145 | val loss: 1.8685 | train cost: 1.9843 | val cost: 2.0383 | train acc: 0.3943 | val acc: 0.3611 | eta: 0.001000
Epoch 10/40 | train loss: 1.8124 | val loss: 1.8671 | train cost: 1.9569 | val cost: 2.0115 | train acc: 0.3953 | val acc: 0.3604 | eta: 0.001000
Epoch 11/40 | train loss: 1.8108 | val loss: 1.8660 | train cost: 1.9385 | val cost: 1.9937 | train acc: 0.3951 | val acc: 0.3606 | eta: 0.001000
Epoch 12/40 | train loss: 1.8097 | val loss: 1.8652 | train cost: 1.9262 | val cost: 1.9818 | train acc: 0.3966 | val acc: 0.3614 | eta: 0.001000
Epoch 13/40 | train loss: 1.8087 | val loss: 1.8646 | train cost: 1.9180 | val cost: 1.9739 | train acc: 0.3967 | val acc: 0.3612 | eta: 0.001000
Epoch 14/40 | train loss: 1.8080 | val loss: 1.8642 | train cost: 1.9125 | val cost: 1.9686 | train acc: 0.3973 | val acc: 0.3621 | eta: 0.001000
Epoch 15/40 | train loss: 1.8075 | val loss: 1.8638 | train cost: 1.9087 | val cost: 1.9651 | train acc: 0.3971 | val acc: 0.3624 | eta: 0.001000
Epoch 16/40 | train loss: 1.8070 | val loss: 1.8635 | train cost: 1.9062 | val cost: 1.9627 | train acc: 0.3974 | val acc: 0.3635 | eta: 0.001000
Epoch 17/40 | train loss: 1.8067 | val loss: 1.8633 | train cost: 1.9045 | val cost: 1.9611 | train acc: 0.3971 | val acc: 0.3638 | eta: 0.001000
Epoch 18/40 | train loss: 1.8064 | val loss: 1.8631 | train cost: 1.9034 | val cost: 1.9600 | train acc: 0.3973 | val acc: 0.3636 | eta: 0.001000
Epoch 19/40 | train loss: 1.8061 | val loss: 1.8629 | train cost: 1.9026 | val cost: 1.9593 | train acc: 0.3974 | val acc: 0.3633 | eta: 0.001000
Epoch 20/40 | train loss: 1.8059 | val loss: 1.8628 | train cost: 1.9020 | val cost: 1.9588 | train acc: 0.3977 | val acc: 0.3631 | eta: 0.001000
Epoch 21/40 | train loss: 1.8057 | val loss: 1.8626 | train cost: 1.9016 | val cost: 1.9585 | train acc: 0.3976 | val acc: 0.3631 | eta: 0.001000
Epoch 22/40 | train loss: 1.8056 | val loss: 1.8625 | train cost: 1.9013 | val cost: 1.9582 | train acc: 0.3974 | val acc: 0.3628 | eta: 0.001000
Epoch 23/40 | train loss: 1.8055 | val loss: 1.8624 | train cost: 1.9011 | val cost: 1.9580 | train acc: 0.3978 | val acc: 0.3627 | eta: 0.001000
Epoch 24/40 | train loss: 1.8053 | val loss: 1.8623 | train cost: 1.9009 | val cost: 1.9579 | train acc: 0.3980 | val acc: 0.3626 | eta: 0.001000
Epoch 25/40 | train loss: 1.8052 | val loss: 1.8622 | train cost: 1.9008 | val cost: 1.9578 | train acc: 0.3979 | val acc: 0.3625 | eta: 0.001000
Epoch 26/40 | train loss: 1.8051 | val loss: 1.8621 | train cost: 1.9007 | val cost: 1.9577 | train acc: 0.3983 | val acc: 0.3626 | eta: 0.001000
Epoch 27/40 | train loss: 1.8050 | val loss: 1.8621 | train cost: 1.9006 | val cost: 1.9576 | train acc: 0.3984 | val acc: 0.3628 | eta: 0.001000
Epoch 28/40 | train loss: 1.8049 | val loss: 1.8620 | train cost: 1.9005 | val cost: 1.9575 | train acc: 0.3985 | val acc: 0.3634 | eta: 0.001000
Epoch 29/40 | train loss: 1.8048 | val loss: 1.8619 | train cost: 1.9004 | val cost: 1.9575 | train acc: 0.3986 | val acc: 0.3633 | eta: 0.001000
